method,variety,trt,yield
2,1,1,22.1
2,1,1,24.1
2,1,1,19.1
2,1,1,22.1
2,1,1,25.1
2,1,1,18.1
2,2,2,27.1
2,2,2,15.1
2,2,2,20.6
2,2,2,28.6
2,2,2,15.1
2,2,2,24.6
2,3,3,22.3
2,3,3,25.8
2,3,3,22.8
2,3,3,28.3
2,3,3,21.3
2,3,3,18.3
2,4,4,19.8
2,4,4,28.3
2,4,4,26.8
2,4,4,27.3
2,4,4,26.8
2,4,4,26.8
2,5,5,20
2,5,5,17
2,5,5,24
2,5,5,22.5
2,5,5,28
2,5,5,22.5
1,1,6,13.5
1,1,6,14.5
1,1,6,11.5
1,1,6,6
1,1,6,27
1,1,6,18
1,2,7,16.9
1,2,7,17.4
1,2,7,10.4
1,2,7,19.4
1,2,7,11.9
1,2,7,15.4
1,3,8,15.7
1,3,8,10.2
1,3,8,16.7
1,3,8,19.7
1,3,8,18.2
1,3,8,12.2
1,4,9,15.1
1,4,9,6.5
1,4,9,17.1
1,4,9,7.6
1,4,9,13.6
1,4,9,21.1
1,5,10,21.8
1,5,10,22.8
1,5,10,18.8
1,5,10,21.3
1,5,10,16.3
1,5,10,14.3
3,1,11,19
3,1,11,22
3,1,11,20
3,1,11,14.5
3,1,11,19
3,1,11,16
3,2,12,20
3,2,12,22
3,2,12,25.5
3,2,12,16.5
3,2,12,18
3,2,12,17.5
3,3,13,16.4
3,3,13,14.4
3,3,13,21.4
3,3,13,19.9
3,3,13,10.4
3,3,13,21.4
3,4,14,24.5
3,4,14,16
3,4,14,11
3,4,14,7.5
3,4,14,14.5
3,4,14,15.5
3,5,15,11.8
3,5,15,14.3
3,5,15,21.3
3,5,15,6.3
3,5,15,7.8
3,5,15,13.8